mall_id,name,region,operator,lat,lon,A_dining_count,A_dining_score,B_fitness_count,B_fitness_score,C_engagement_count,C_engagement_score,D_healthcare_count,D_healthcare_score,E_infra_count,E_infra_score,F_partnership_score,pop_catchment,senior_pop_catchment,reach_population_score,mrt_count,bus_count,accessibility_score,engagement_gap_score
69,Northpoint City,North,Unknown,1.429698486262892,103.8357764914675,49,23.67149758454106,0,0.0,2,100.0,6,35.294117647058826,8,1.680672268907563,0.0,145200.0,19110.0,66.49699265239914,5,11,27.10886806056236,0.0
70,Sembawang Shopping Centre,North,CapitaLand Mall Trust,1.441824706757328,103.8248452072371,34,16.425120772946862,0,0.0,0,0.0,1,5.88235294117647,7,1.4705882352941175,0.0,115140.0,13750.0,51.39015184880601,9,6,16.69069935111752,100.0
71,Sun Plaza,North,Canberra Development Pte Ltd,1.44819535371132,103.8195021271551,14,6.763285024154589,0,0.0,2,100.0,3,17.647058823529413,10,2.100840336134454,0.0,100690.0,8970.0,42.02437591625932,4,19,47.47656813266042,0.0
72,Compass One,North-East,Unknown,1.39205314156707,103.8950705438402,51,24.637681159420293,0,0.0,1,50.0,5,29.411764705882355,0,0.0,0.0,190570.0,19210.0,81.6691406958819,19,14,44.59264599855804,50.0
73,Heartland Mall,North-East,Unknown,1.359541773255625,103.8851673727259,21,10.144927536231885,1,14.285714285714285,1,50.0,5,29.411764705882355,10,2.100840336134454,0.0,57130.0,10520.0,29.029129170826018,3,8,17.84426820475847,50.0
74,Hougang Mall,North-East,Unknown,1.372491186358026,103.8937740666245,78,37.68115942028986,0,0.0,1,50.0,9,52.94117647058824,3,0.6302521008403361,0.0,107390.0,16880.0,51.80333220369252,4,13,31.687094448449894,50.0
75,NEX,North-East,Unknown,1.350769352578452,103.8722961438613,28,13.526570048309178,1,14.285714285714285,1,50.0,3,17.647058823529413,2,0.42016806722689076,0.0,50170.0,9400.0,25.646905406154723,11,15,41.74477289113194,50.0
76,Oasis Terraces,North-East,Unknown,1.402817186555658,103.9136086024412,16,7.729468599033816,0,0.0,0,0.0,1,5.88235294117647,3,0.6302521008403361,0.0,99540.0,8310.0,41.01205356461608,14,11,33.273251622206196,100.0
77,Punggol Plaza,North-East,Unknown,1.39423719717118,103.913047323223,65,31.40096618357488,0,0.0,1,50.0,8,47.05882352941176,3,0.6302521008403361,0.0,99540.0,8310.0,41.01205356461608,16,8,26.748377793799566,50.0
78,The Seletar Mall,North-East,Unknown,1.391470153746278,103.876125507257,32,15.458937198067632,0,0.0,2,100.0,6,35.294117647058826,0,0.0,0.0,108000.0,11800.0,47.1556243647659,9,10,27.2170151405912,0.0
79,Waterway Point,North-East,Unknown,1.406536116905548,103.9019881717096,52,25.120772946859905,0,0.0,2,100.0,6,35.294117647058826,36,7.563025210084033,0.0,74460.0,5040.0,29.555634759677353,20,10,34.751261715933666,0.0
80,Gek Poh Shopping Centre,West,Unknown,1.348743571364091,103.6977320910003,6,2.898550724637681,0,0.0,2,100.0,2,11.76470588235294,3,0.6302521008403361,0.0,131260.0,14920.0,57.86402760815958,0,8,15.789473684210526,0.0
81,Hillion Mall,West,Unknown,1.37843100827587,103.7628427898765,32,15.458937198067632,0,0.0,1,50.0,2,11.76470588235294,21,4.411764705882353,0.0,129540.0,16600.0,58.896537240450165,17,16,48.48594087959624,50.0
82,IMM,West,Unknown,1.334875261180072,103.7468947730077,12,5.797101449275362,0,0.0,0,0.0,0,0.0,2,0.42016806722689076,0.0,39820.0,7360.0,20.259747080321688,4,6,13.266041816870944,100.0
83,Jem,West,Unknown,1.333293344734624,103.743278742341,29,14.009661835748794,0,0.0,0,0.0,2,11.76470588235294,0,0.0,0.0,39820.0,7360.0,20.259747080321688,4,12,29.05551550108147,100.0
84,Junction 10,West,Unknown,1.38033681049385,103.7601678834385,1,0.4830917874396135,0,0.0,0,0.0,1,5.88235294117647,21,4.411764705882353,0.0,101720.0,13350.0,46.548699480239314,13,14,40.483056957462146,100.0
